Date,Open,High,Low,Close,Volume,Adj Close
7/22/2013,27.7,28,26,26.1,170100,25.27
7/29/2013,25.7,27.8,25.6,27.1,185500,26.24
8/5/2013,27,27.5,26.7,27.3,117600,26.43
8/12/2013,27.2,27.5,26.2,26.4,140700,25.56
8/19/2013,26.2,26.7,24.1,24.7,193400,23.92
8/26/2013,24.85,25.1,22.3,23.55,179300,22.8
9/2/2013,24.55,24.75,22.35,24,156100,23.24
9/9/2013,23.95,26,23.95,24.9,135700,24.11
9/16/2013,24.9,25.1,23.6,23.7,269500,22.95
9/23/2013,23.7,24,23.25,23.35,200700,22.61
9/30/2013,23.4,24.1,22.95,23.7,506400,22.95
10/7/2013,23.9,24.85,23.7,24.7,131700,23.92
10/14/2013,24.7,24.7,24.7,24.7,0,23.92
10/21/2013,25.25,26.4,25.2,26,202600,25.17
10/28/2013,26,26.4,24.6,25,99400,24.21
11/4/2013,25.4,25.5,24.4,24.5,133300,23.72
11/11/2013,24.55,24.6,22.5,22.5,202200,21.79
11/18/2013,22.75,22.95,22.05,22.15,196600,21.45
11/25/2013,22.4,23.05,21.2,22.9,432400,22.17
12/2/2013,22.8,23.2,22.8,23,153400,22.27
12/9/2013,23.2,23.7,22.9,23.1,121000,22.37
12/16/2013,23,23.15,22.15,22.15,149400,21.45
12/23/2013,21.7,22.75,20.85,22.2,79400,21.5
12/30/2013,22.65,23.4,22.6,23.35,116500,22.61
1/6/2014,22.8,23.05,20.7,21,216200,20.33
1/13/2014,20.9,21.35,20.7,21.2,276200,20.53
1/20/2014,21.4,23.1,21.4,22.55,201500,21.83
1/27/2014,22.3,23.3,21.15,22.9,267800,22.17
2/3/2014,22.45,23.3,21.95,23.2,184800,22.46
2/10/2014,22.75,23.2,22.4,23.15,104900,22.42
2/17/2014,23.55,23.55,21.9,22.75,81500,22.03
2/24/2014,23.05,23.85,22.45,23.3,178100,22.56
3/3/2014,22.5,23.45,22.35,23.4,425200,22.66
3/10/2014,23.2,23.55,22.65,22.9,347000,22.17
3/17/2014,23.05,23.5,22.5,22.5,198500,21.79
3/24/2014,22.65,23.75,22.45,23.3,169600,22.56
3/31/2014,23.45,25.8,23.3,25.4,218500,24.59
4/7/2014,25.65,26.65,25.2,26.6,131400,25.76
4/14/2014,26.3,27.2,25.5,26.15,155100,25.32
4/21/2014,26.3,26.5,25.95,26.1,94900,25.27
4/28/2014,26.1,26.25,25.1,25.25,157300,24.45
5/5/2014,25.3,25.85,25.05,25.65,96500,24.84
5/12/2014,25.75,26.5,25.45,26.3,158800,25.47
5/19/2014,26.3,26.6,26.1,26.6,98700,25.76
5/26/2014,26.7,27.2,25.95,26.25,146500,25.42
6/2/2014,26.1,26.45,25.55,25.65,148300,24.84
6/9/2014,25.7,27.1,24.85,26.7,137100,25.85
6/16/2014,26.55,26.95,25,25.05,125600,24.25
6/23/2014,24.8,26.25,24.8,25.9,76800,25.08
6/30/2014,26.05,26.4,24.7,26.05,78900,25.22
7/7/2014,26.95,27.75,26.4,27.45,114000,26.58
7/14/2014,27.05,27.65,26.8,27.6,133000,26.72
7/21/2014,27.7,27.95,27.4,27.9,150500,27.01
7/28/2014,27.9,27.9,24.9,25.2,118800,24.4
8/4/2014,25.1,27.25,25.1,25.5,172900,24.69
8/11/2014,25.55,27.5,25.4,27.35,115900,26.48
8/18/2014,27.45,28.4,27,28.2,99500,27.3
8/25/2014,28.1,29.05,27.4,28.7,103800,27.79
9/1/2014,29.35,29.4,27.75,27.9,76600,27.01
9/8/2014,28,28,27.1,27.4,90300,26.53
9/15/2014,27.55,28.25,26.55,26.55,177100,25.71
9/22/2014,27.1,27.7,25.8,27.4,227800,26.53
9/29/2014,27,27.25,25.15,27,188900,26.14
10/6/2014,25.3,26.7,25.3,25.95,126200,25.13
10/13/2014,25.55,26.4,25.45,25.6,121200,24.79
10/20/2014,25.75,26.45,25.45,26.45,109900,25.61
10/27/2014,26.45,26.5,25.65,26,151500,25.17
11/3/2014,25.85,26.2,24.45,24.5,145200,23.72
11/10/2014,24.4,25.05,24.3,24.9,181500,24.11
11/17/2014,24.85,25.35,24.6,25.05,93600,24.25
11/24/2014,25,25.75,24.9,25.4,237300,24.59
12/1/2014,25.5,25.7,25,25.05,159600,24.25
12/8/2014,25.15,25.3,23.45,24.15,178000,23.38
12/15/2014,23.65,23.65,20.65,22,344400,21.3
12/22/2014,22.8,23.15,22.5,22.6,112700,21.88
12/29/2014,22.45,22.95,22.25,22.55,57300,21.83
1/5/2015,22.55,22.55,21,21.75,265900,21.06
1/12/2015,21.9,21.9,20.1,20.25,184600,19.61
1/19/2015,20.4,21.45,20.3,21.3,206800,20.62
1/26/2015,21.6,22.1,21.35,21.5,320300,20.82
2/2/2015,21.1,21.45,20.1,20.3,222900,19.66
2/9/2015,20.1,21.2,19.1,20.95,286900,20.28
2/16/2015,20.8,20.85,20.05,20.05,96100,19.41
2/23/2015,20.2,20.65,20,20.5,172600,19.85
3/2/2015,20.4,20.55,19.95,19.95,279600,19.32
3/9/2015,19.9,19.95,19,19.65,266700,19.03
3/16/2015,19.5,20.75,19.5,20.1,360800,19.46
3/23/2015,20.55,20.95,20.5,20.85,187700,20.19
3/30/2015,21.35,21.7,21.1,21.6,143400,20.91
4/6/2015,21.5,22.95,21.4,22.65,229700,21.93
4/13/2015,22.7,23.3,22.3,22.45,156000,21.74
4/20/2015,22,23.1,21.75,23.1,116800,22.37
4/27/2015,22.95,23.2,22,22.5,146000,21.79
5/4/2015,22.6,22.9,22.45,22.55,116100,21.83
5/11/2015,22.95,23.6,22.7,23.6,147900,22.85
5/18/2015,23.45,24.45,23.45,24.1,154600,23.33
5/25/2015,24.15,24.8,23.6,24.65,273100,24.33
6/1/2015,24.25,24.3,22.85,22.9,128300,22.6
6/8/2015,22.7,24.3,22.7,23.95,99200,23.64
6/15/2015,23.95,24.25,22.95,24.25,103300,23.94
6/22/2015,24.2,24.55,23.8,24.35,89000,24.03
6/29/2015,24.3,25.1,23.75,24.7,129100,24.38
7/6/2015,24.8,26.05,24.55,25.55,99100,25.22
7/13/2015,24.7,24.75,24,24.4,71300,24.08
7/20/2015,24,24,20.25,21.3,197300,21.02
7/27/2015,21.55,22,20.45,21.75,146900,21.47
8/3/2015,21.5,21.7,21,21,106500,20.73
8/10/2015,21.05,21.6,19.5,21.1,106700,20.83
8/17/2015,20.85,21.4,20.7,21.1,124000,20.83
8/24/2015,21.05,21.35,19.5,21.35,151400,21.07
8/31/2015,21.7,22,21.1,21.35,129900,21.07
9/7/2015,21,21.15,19.7,19.7,94100,19.45
9/14/2015,19.9,23.1,19.85,23.1,160600,22.8
9/21/2015,23.05,23.35,22,22,53700,21.72
9/28/2015,21.9,22.3,21.1,22,271300,21.72
10/5/2015,22.85,24.15,22.45,23.35,135300,23.05
10/12/2015,23.3,24.1,23.2,23.5,124100,23.2
10/19/2015,23.95,24.5,23.7,23.85,118700,23.54
10/26/2015,23.75,23.9,22.6,23,154200,22.7
11/2/2015,23.85,23.9,22.85,23,128600,22.7
11/9/2015,22.95,23.05,22.05,22.15,81800,21.86
11/16/2015,21.9,22.45,21,21.15,162200,20.88
11/23/2015,21.15,21.35,19.3,20.65,180400,20.38
11/30/2015,20.78,20.78,19.54,20,333200,19.74
12/7/2015,19.96,19.96,18,18.46,204500,18.22
12/14/2015,18.51,20,18.4,19.02,216800,18.77
12/21/2015,19.04,20.34,19.04,19.18,179300,18.93
12/28/2015,19.21,19.92,18.88,18.89,87300,18.65
1/4/2016,18.8,18.96,18.37,18.39,175000,18.15
1/11/2016,18.39,18.5,14.41,17.61,278100,17.38
1/18/2016,17.71,17.71,16.6,16.65,286400,16.43
1/25/2016,16.77,19,16.77,18.29,344300,18.05
2/1/2016,18.51,18.51,17.36,17.47,209000,17.24
2/8/2016,17.47,17.63,16.73,17.56,190500,17.33
2/15/2016,17.6,17.64,16.53,17.35,276400,17.13
2/22/2016,17.31,18.24,17.07,17.24,301200,17.02
2/29/2016,17.24,18.63,17.11,18.4,371500,18.16
3/7/2016,18.4,19.51,18.4,18.9,290000,18.66
3/14/2016,18.8,21.5,18.8,21.38,414000,21.1
3/21/2016,21.18,21.4,20.02,20.22,249800,19.96
3/28/2016,20.38,21.48,19.95,21.46,182300,21.18
4/4/2016,21.46,22.4,21.2,21.7,260900,21.42
4/11/2016,22,22.48,21.52,22.42,257600,22.13
4/18/2016,22.3,22.62,21.08,21.84,276200,21.56
4/25/2016,21.7,22.1,21.5,22,179900,21.72
5/2/2016,22,22,18.87,19,256700,18.75
5/9/2016,19.19,19.66,18.56,19.25,261100,19
5/16/2016,19.21,19.85,18.89,18.95,282600,18.7
5/23/2016,18.95,19.3,18.7,18.93,229500,18.68
5/30/2016,18.85,18.95,18.09,18.88,390100,18.88
6/6/2016,18.97,19.51,18.85,18.95,236700,18.95
6/13/2016,18.94,19.15,17.87,17.96,378100,17.96
6/20/2016,18,18.9,17.45,17.66,171400,17.66
6/27/2016,17.69,19.46,17.61,19.32,262500,19.32
7/4/2016,19.51,19.56,18.7,19.03,77600,19.03
7/11/2016,19.21,22.3,18.95,22.3,374600,22.3
7/18/2016,21.66,21.82,18.49,19.33,342700,19.33
7/25/2016,19.3,21,19.29,20.24,266100,20.24
8/1/2016,20.5,21.28,19.52,20,288000,20
8/8/2016,20.12,20.42,19.81,20.14,202800,20.14
8/15/2016,20.28,20.7,19.65,19.74,202900,19.74
8/22/2016,19.59,19.7,18.38,18.4,383900,18.4
8/29/2016,18.44,19.02,18.28,18.78,277200,18.78
